51   40   91 Zr       -87895.592       0.095      8693.3149     0.0011
52   40   92 Zr       -88459.024       0.094      8692.6783     0.0011
53   40   93 Zr       -87122.028       0.456      8671.6207     0.0049
54   40   94 Zr       -87269.332       0.164      8666.8016     0.0018
53   42   95 Mo       -87711.872       0.123      8648.7212     0.0013
54   42   96 Mo       -88794.889       0.120      8653.9880     0.0013
55   42   97 Mo       -87544.700       0.165      8635.0926     0.0017
56   42   98 Mo       -88115.980       0.174      8635.1691     0.0018
56   43   99 Tc       -87327.869       0.908      8613.6105     0.0092
56   44  100 Ru       -89227.391       0.342      8619.3593     0.0034
57   44  101 Ru       -87958.113       0.413      8601.3660     0.0041
58   44  102 Ru       -89106.435       0.416      8607.4275     0.0041
59   44  103 Ru       -87267.168       0.441      8584.3656     0.0043
60   44  104 Ru       -88095.763       2.498      8587.3998     0.0240
60   45  105 Rh       -87851.270       2.502      8572.7053     0.0238
60   46  106 Pd       -89907.543       1.106      8579.9934     0.0104
61   46  107 Pd       -88372.654       1.201      8560.8946     0.0112
62   46  108 Pd       -89524.215       1.108      8567.0241     0.0103
62   47  109 Ag       -88719.431       1.287      8547.9155     0.0118
62   48  110 Cd       -90347.969       0.380      8551.2755     0.0035
